Data;Nome do evento;Local;Tipo de evento;Tipo de testagem;Tipo de Intervenção;Tamanho estimado (faixa);Tamanho estimado (numero inteiro);no. de pessoas que pegaram o contato (publico de interesse);12/31/2021;nº de pessoas de deram o contatos (público de interesse)
11/10/2021;Devo usar PrEP?;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3621;516;583;
11/10/2021;Devo usar PrEP?;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;207;214;
11/15/2021;Lubrificantes ;Instagram;Vídeo Pílula;Autoteste;Coletiva;;3627;1753;1860;
11/15/2021;Lubrificantes ;Tik Tok;Vídeo Pílula;Autoteste;Coletiva;;;198;1449;
11/16/2021;Sugar daddy;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3628;893;980;
11/16/2021;Sugar daddy;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;696;718;
11/19/2021;Retificação e Poupatrans ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3632;2487;2604;
11/19/2021;Retificação e Poupatrans ;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;265;269;
11/26/2021;Serviços da PrEP 1519;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3648;2261;2369;
11/26/2021;Serviços da PrEP 1519;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;243;269;
11/30/2021;Relacionamento fechado e uso de PrEP;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3659;5175;5252;
11/30/2021;Relacionamento fechado e uso de PrEP;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;2840;2872;
12/02/2021;Kit de prevenção ;Instagram;Vídeo Pílula;Autoteste;Coletiva;;3661;615;727;
12/02/2021;Kit de prevenção ;Tik Tok;Vídeo Pílula;Autoteste;Coletiva;;;1328;1411;
12/08/2021;Sou versátil ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3665;2827;3014;
12/08/2021;Sou versátil ;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;;Não consta no Tiktok;
12/09/2021;Locais dos serviços ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3674;1531;1655;
12/09/2021;Locais dos serviços ;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;528;545;
12/13/2021;Cuidados online ;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3679;1450;1588;
12/13/2021;Cuidados online ;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;481;493;
12/15/2021;Kit de prevenção ;Instagram;Vídeo Pílula;Autoteste;Coletiva;;3685;1016;1182;
12/15/2021;Kit de prevenção ;Tik Tok;Vídeo Pílula;Autoteste;Coletiva;;;520;546;
12/17/2021;Não se testa e nem usa camisinha;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3689;4097;4283;
12/17/2021;Não se testa e nem usa camisinha;Tik Tok;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;;1313;1335;
12/22/2021;Viajar com a PrEP;Instagram;Vídeo Pílula;Não foi ofertada testagem;Coletiva;;3702;4243;4408;
